state,state_po,county_name,percent_republican
GEORGIA,GA,WHEELER,0.6760228353948621
GEORGIA,GA,WHITE,0.8255941808339677
GEORGIA,GA,WHITFIELD,0.7024920086111293
GEORGIA,GA,WILCOX,0.7043010752688172
GEORGIA,GA,WILKES,0.5733392777530094
GEORGIA,GA,WILKINSON,0.5442034056449732
GEORGIA,GA,WORTH,0.7416515973477998
HAWAII,HI,HAWAII,0.2697982024758352
HAWAII,HI,HONOLULU,0.31605724483012004
HAWAII,HI,KAUAI,0.2876020505031327
HAWAII,HI,MAUI,0.2588507074790644
IDAHO,ID,ADA,0.47913568322013195
IDAHO,ID,ADAMS,0.7127805771873569
IDAHO,ID,BANNOCK,0.514124970074216
IDAHO,ID,BEAR LAKE,0.7523907103825137
IDAHO,ID,BENEWAH,0.741457586618877
IDAHO,ID,BINGHAM,0.6560601503759399
IDAHO,ID,BLAINE,0.3114509511376352
IDAHO,ID,BOISE,0.7008390141583639
IDAHO,ID,BONNER,0.6371102516353913
IDAHO,ID,BONNEVILLE,0.6037629180705999
IDAHO,ID,BOUNDARY,0.7338756536897153
IDAHO,ID,BUTTE,0.7430894308943089
IDAHO,ID,CAMAS,0.6949152542372882
IDAHO,ID,CANYON,0.648787524902109
IDAHO,ID,CARIBOU,0.7495881383855024
IDAHO,ID,CASSIA,0.727439471753485
IDAHO,ID,CLARK,0.7173144876325088
IDAHO,ID,CLEARWATER,0.7503288608260984
IDAHO,ID,CUSTER,0.7361226180613091
IDAHO,ID,ELMORE,0.6824689040131424
