,state,county,percent_vac
555,IA,AUDUBON,0.523
556,IA,BENTON,0.506
557,IA,BLACK HAWK,0.523
558,IA,BOONE,0.567
559,IA,BREMER,0.528
560,IA,BUCHANAN,0.47
561,IA,BUENA VISTA,0.541
562,IA,BUTLER,0.515
563,IA,CALHOUN,0.528
564,IA,CARROLL,0.55
565,IA,CASS,0.523
566,IA,CEDAR,0.533
567,IA,CERRO GORDO,0.554
568,IA,CHEROKEE,0.476
569,IA,CHICKASAW,0.474
570,IA,CLARKE,0.468
571,IA,CLAY,0.466
572,IA,CLAYTON,0.433
573,IA,CLINTON,0.483
574,IA,CRAWFORD,0.461
575,IA,DALLAS,0.566
576,IA,DAVIS,0.322
577,IA,DECATUR,0.359
578,IA,DELAWARE,0.467
579,IA,DES MOINES,0.447
580,IA,DICKINSON,0.53
581,IA,DUBUQUE,0.573
582,IA,EMMET,0.464
583,IA,FAYETTE,0.481
584,IA,FLOYD,0.467
585,IA,FRANKLIN,0.463
586,IA,FREMONT,0.449
587,IA,GREENE,0.512
588,IA,GRUNDY,0.553
589,IA,GUTHRIE,0.526
590,IA,HAMILTON,0.551
591,IA,HANCOCK,0.43
592,IA,HARDIN,0.484
593,IA,HARRISON,0.462
594,IA,HENRY,0.472
595,IA,HOWARD,0.444
596,IA,HUMBOLDT,0.439
597,IA,IDA,0.431
598,IA,IOWA,0.559
599,IA,JACKSON,0.466
600,IA,JASPER,0.513
601,IA,JEFFERSON,0.434
602,IA,JOHNSON,0.648
603,IA,JONES,0.525
604,IA,KEOKUK,0.414
605,IA,KOSSUTH,0.476
606,IA,LEE,0.449
607,IA,LINN,0.587
608,IA,LOUISA,0.447
609,IA,LUCAS,0.401
610,IA,LYON,0.356
611,IA,MADISON,0.475
612,IA,MAHASKA,0.38
613,IA,MARION,0.462
614,IA,MARSHALL,0.56
615,IA,MILLS,0.481
616,IA,MITCHELL,0.425
617,IA,MONONA,0.478
618,IA,MONROE,0.411
619,IA,MONTGOMERY,0.499
620,IA,MUSCATINE,0.526
621,IA,O'BRIEN,0.447
622,IA,OSCEOLA,0.407
623,IA,PAGE,0.478
624,IA,PALO ALTO,0.449
625,IA,PLYMOUTH,0.454
626,IA,POCAHONTAS,0.464
627,IA,POLK,0.586
628,IA,POTTAWATTAMIE,0.496
629,IA,POWESHIEK,0.52
630,IA,RINGGOLD,0.456
631,IA,SAC,0.459
632,IA,SCOTT,0.541
633,IA,SHELBY,0.526
634,IA,SIOUX,0.361
635,IA,STORY,0.562
636,IA,TAMA,0.547
637,IA,TAYLOR,0.418
638,IA,UNION,0.454
639,IA,VAN BUREN,0.361
640,IA,WAPELLO,0.424
641,IA,WARREN,0.524
642,IA,WASHINGTON,0.505
643,IA,WAYNE,0.368
644,IA,WEBSTER,0.512
645,IA,WINNEBAGO,0.47
646,IA,WINNESHIEK,0.551
647,IA,WOODBURY,0.481
648,IA,WORTH,0.454
649,IA,WRIGHT,0.501
650,ID,ADA,0.507
651,ID,ADAMS,0.367
652,ID,BANNOCK,0.416
653,ID,BEAR LAKE,0.374
654,ID,BENEWAH,0.403
655,ID,BINGHAM,0.363
656,ID,BLAINE,0.696
657,ID,BOISE,0.29
658,ID,BONNER,0.363
659,ID,BONNEVILLE,0.4
660,ID,BOUNDARY,0.278
661,ID,BUTTE,0.361
662,ID,CAMAS,0.347
663,ID,CANYON,0.341
664,ID,CARIBOU,0.297
665,ID,CASSIA,0.286
666,ID,CLARK,0.318
667,ID,CLEARWATER,0.352
668,ID,CUSTER,0.39
669,ID,ELMORE,0.43
670,ID,FRANKLIN,0.327
671,ID,FREMONT,0.357
672,ID,GEM,0.332
673,ID,GOODING,0.328
674,ID,IDAHO,0.251
675,ID,JEFFERSON,0.306
676,ID,JEROME,0.325
677,ID,KOOTENAI,0.379
678,ID,LATAH,0.48
679,ID,LEMHI,0.399
680,ID,LEWIS,0.4
681,ID,LINCOLN,0.314
682,ID,MADISON,0.404
683,ID,MINIDOKA,0.305
684,ID,NEZ PERCE,0.433
685,ID,ONEIDA,0.338
686,ID,OWYHEE,0.259
687,ID,PAYETTE,0.259
688,ID,POWER,0.406
689,ID,SHOSHONE,0.366
690,ID,TETON,0.525
691,ID,TWIN FALLS,0.369
692,ID,VALLEY,0.525
693,ID,WASHINGTON,0.341
694,IL,ADAMS,0.547
695,IL,ALEXANDER,0.21
696,IL,BOND,0.473
697,IL,BOONE,0.588
698,IL,BROWN,0.54
699,IL,BUREAU,0.56
700,IL,CALHOUN,0.439
701,IL,CARROLL,0.479
702,IL,CASS,0.593
703,IL,CHAMPAIGN,0.644
704,IL,CHRISTIAN,0.462
705,IL,CLARK,0.436
706,IL,CLAY,0.375
707,IL,CLINTON,0.572
708,IL,COLES,0.457
709,IL,COOK,0.701
710,IL,CRAWFORD,0.475
711,IL,CUMBERLAND,0.384
712,IL,DEKALB,0.564
713,IL,DE WITT,0.519
714,IL,DOUGLAS,0.469
715,IL,DUPAGE,0.782
716,IL,EDGAR,0.44
717,IL,EDWARDS,0.349
718,IL,EFFINGHAM,0.463
719,IL,FAYETTE,0.325
720,IL,FORD,0.552
721,IL,FRANKLIN,0.409
722,IL,FULTON,0.591
723,IL,GALLATIN,0.455
724,IL,GREENE,0.397
725,IL,GRUNDY,0.557
726,IL,HAMILTON,0.332
727,IL,HANCOCK,0.408
728,IL,HARDIN,0.346
729,IL,HENDERSON,0.285
730,IL,HENRY,0.59
731,IL,IROQUOIS,0.475
732,IL,JACKSON,0.514
733,IL,JASPER,0.421
734,IL,JEFFERSON,0.423
735,IL,JERSEY,0.547
736,IL,JO DAVIESS,0.514
737,IL,JOHNSON,0.44
738,IL,KANE,0.658
739,IL,KANKAKEE,0.485
740,IL,KENDALL,0.667
741,IL,KNOX,0.602
742,IL,LAKE,0.684
743,IL,LASALLE,0.589
744,IL,LAWRENCE,0.412
745,IL,LEE,0.614
746,IL,LIVINGSTON,0.514
747,IL,LOGAN,0.558
748,IL,MCDONOUGH,0.503
749,IL,MCHENRY,0.659
750,IL,MCLEAN,0.644
751,IL,MACON,0.518
752,IL,MACOUPIN,0.543
753,IL,MADISON,0.585
754,IL,MARION,0.426
755,IL,MARSHALL,0.576
756,IL,MASON,0.547
757,IL,MASSAC,0.371
758,IL,MENARD,0.58
759,IL,MERCER,0.557
760,IL,MONROE,0.62
761,IL,MONTGOMERY,0.518
762,IL,MORGAN,0.551
763,IL,MOULTRIE,0.427
764,IL,OGLE,0.571
765,IL,PEORIA,0.607
766,IL,PERRY,0.462
767,IL,PIATT,0.572
768,IL,PIKE,0.397
769,IL,POPE,0.315
770,IL,PULASKI,0.312
771,IL,PUTNAM,0.562
772,IL,RANDOLPH,0.496
773,IL,RICHLAND,0.449
774,IL,ROCK ISLAND,0.517
775,IL,ST. CLAIR,0.559
776,IL,SALINE,0.443
777,IL,SANGAMON,0.661
778,IL,SCHUYLER,0.533
779,IL,SCOTT,0.413
780,IL,SHELBY,0.392
781,IL,STARK,0.542
782,IL,STEPHENSON,0.534
783,IL,TAZEWELL,0.604
784,IL,UNION,0.515
785,IL,VERMILION,0.43
786,IL,WABASH,0.433
787,IL,WARREN,0.499
788,IL,WASHINGTON,0.561
789,IL,WAYNE,0.381
790,IL,WHITE,0.413
791,IL,WHITESIDE,0.567
792,IL,WILL,0.654
793,IL,WILLIAMSON,0.485
794,IL,WINNEBAGO,0.568
795,IL,WOODFORD,0.576
796,IN,ADAMS,0.298
797,IN,ALLEN,0.466
798,IN,BARTHOLOMEW,0.518
799,IN,BENTON,0.361
800,IN,BLACKFORD,0.397
801,IN,BOONE,0.626
802,IN,BROWN,0.451
803,IN,CARROLL,0.298
804,IN,CASS,0.383
805,IN,CLARK,0.534
806,IN,CLAY,0.479
807,IN,CLINTON,0.415
808,IN,CRAWFORD,0.327
809,IN,DAVIESS,0.281
810,IN,DEARBORN,0.455
811,IN,DECATUR,0.419
812,IN,DEKALB,0.378
813,IN,DELAWARE,0.428
814,IN,DUBOIS,0.493
815,IN,ELKHART,0.374
816,IN,FAYETTE,0.333
817,IN,FLOYD,0.511
818,IN,FOUNTAIN,0.404
819,IN,FRANKLIN,0.269
820,IN,FULTON,0.353
821,IN,GIBSON,0.407
822,IN,GRANT,0.372
823,IN,GREENE,0.351
824,IN,HAMILTON,0.634
825,IN,HANCOCK,0.594
826,IN,HARRISON,0.447
827,IN,HENDRICKS,0.63
828,IN,HENRY,0.454
829,IN,HOWARD,0.416
830,IN,HUNTINGTON,0.452
831,IN,JACKSON,0.454
832,IN,JASPER,0.409
833,IN,JAY,0.332
834,IN,JEFFERSON,0.492
835,IN,JENNINGS,0.347
836,IN,JOHNSON,0.518
837,IN,KNOX,0.433
838,IN,KOSCIUSKO,0.359
839,IN,LAGRANGE,0.201
840,IN,LAKE,0.496
841,IN,LAPORTE,0.5
842,IN,LAWRENCE,0.431
843,IN,MADISON,0.456
844,IN,MARION,0.488
845,IN,MARSHALL,0.392
846,IN,MARTIN,0.414
847,IN,MIAMI,0.353
848,IN,MONROE,0.544
849,IN,MONTGOMERY,0.403
850,IN,MORGAN,0.472
851,IN,NEWTON,0.274
852,IN,NOBLE,0.344
853,IN,OHIO,0.644
854,IN,ORANGE,0.488
855,IN,OWEN,0.377
856,IN,PARKE,0.344
857,IN,PERRY,0.499
858,IN,PIKE,0.505
859,IN,PORTER,0.506
860,IN,POSEY,0.416
861,IN,PULASKI,0.393
862,IN,PUTNAM,0.371
863,IN,RANDOLPH,0.381
864,IN,RIPLEY,0.405
865,IN,RUSH,0.413
866,IN,ST. JOSEPH,0.522
867,IN,SCOTT,0.39
868,IN,SHELBY,0.499
869,IN,SPENCER,0.388
870,IN,STARKE,0.323
871,IN,STEUBEN,0.425
872,IN,SULLIVAN,0.415
873,IN,SWITZERLAND,0.269
874,IN,TIPPECANOE,0.514
875,IN,TIPTON,0.401
876,IN,UNION,0.392
877,IN,VANDERBURGH,0.506
