county,num_hosp,num_not_hosp,num_infected,percent_hosp,percent_republican,state,date_stay_at_home_effective,lat,lon,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,primary_care_physicians_rate,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,num_deaths,percent_vaccinated,eightieth_percentile_income,twentieth_percentile_income,percent_food_insecure,percent_age_65_and_older,percent_age_17_and_younger
GLOUCESTER,3825,16928,20753,0.184310702067171,0.484040647260323,NEW JERSEY,2020-03-21,39.7172626875835,-75.1414160817647,291286,904.734389353395,31.0,27.7,5.5061964086,54.07144,93.303571429,70.180166414,8.1,81315.0,34886.0,3658.0,49.0,151088.0,35412.0,9.2,14.1,23.0
POPE,423,4674,5097,0.0829899941141848,0.7202800301298241,ARKANSAS,,35.4476333317574,-93.0341595274245,63107,77.6649485336019,34.4,31.8,10.510778253,64.22809,91.363022942,53.044389158,7.1,45788.0,20912.0,901.0,46.0,85688.0,17602.0,16.0,14.3,22.8
BINGHAM,290,3768,4058,0.0714637752587481,0.6560601503759399,IDAHO,2020-03-25,43.2165654080792,-112.398092607641,45261,21.6161036029997,31.2,25.9,14.816908647,32.66053,89.568845619,64.805255748,6.6,50941.0,20199.0,562.0,29.0,94964.0,23011.0,10.5,13.0,31.7
WARRICK,34,602,636,0.0534591194968553,0.645949508263206,INDIANA,2020-03-24,38.0922462096387,-87.2721026585154,61427,159.627668911124,35.2,29.4,7.2115292357,159.92324,91.208791209,74.280685126,4.5,75534.0,31021.0,781.0,57.0,127139.0,33412.0,9.6,16.1,24.6
DEKALB,444,431,875,0.5074285714285715,0.1635166175811816,GEORGIA,2020-04-03,33.7715506723253,-84.2264283276226,723902,2704.91931616291,26.3,23.0,15.916535766,107.26808,76.248821866,70.896944919,9.8,63477.0,30517.0,7541.0,44.0,124368.0,25594.0,17.9,10.3,23.8
FULTON,290,424,714,0.4061624649859944,0.2730307308219226,GEORGIA,2020-04-03,33.7902809580417,-84.4670002915784,996757,1892.40894078022,25.0,21.8,13.043439336,108.50538,85.940612845,76.340392635,8.9,70808.0,39101.0,10496.0,46.0,148585.0,25024.0,16.7,10.4,22.9
JACKSON,95,407,502,0.1892430278884462,0.8011769032732622,GEORGIA,2020-04-03,34.1338913295937,-83.5663669641859,62131,182.920923522865,29.6,31.1,15.741594337,53.31833,94.228356336,55.831729136,6.8,68984.0,23982.0,950.0,49.0,112456.0,27186.0,9.0,13.4,25.7
LAPEER,422,4126,4548,0.0927880386983289,0.6647854281477547,MICHIGAN,2020-03-24,43.0901565880542,-83.221790353047,88310,137.08652063714,33.5,21.8,6.3310599284,31.75539,90.60832444,61.175673563,9.2,65209.0,25373.0,1215.0,44.0,107207.0,27821.0,10.0,15.9,22.1
PINAL,5396,20195,25591,0.2108553788441249,0.5621092121717383,ARIZONA,2020-03-31,32.9043969302388,-111.344681591056,397604,74.0990351837614,32.6,28.5,11.027964753,16.03767,80.753066589,53.33965416,9.4,58848.0,21982.0,4896.0,42.0,98542.0,24253.0,13.3,18.2,24.2
TELLER,134,1121,1255,0.1067729083665338,0.674674605372473,COLORADO,2020-03-26,38.8821576374855,-105.161793947762,23472,42.1368153192166,21.0,15.3,8.1806451613,48.68944,83.111111111,71.363438993,7.2,64850.0,34230.0,309.0,39.0,120693.0,29604.0,10.0,17.8,18.6
DYER,108,2312,2420,0.0446280991735537,0.7633473305338933,TENNESSEE,2020-03-31,36.0590570910337,-89.4137781938189,37970,74.1118071592354,40.3,34.0,9.8306308672,42.70881,96.303901437,54.291439386,8.1,44302.0,23936.0,800.0,49.0,84944.0,18881.0,15.1,16.0,24.2
BARROW,117,357,474,0.2468354430379747,0.7263592567102547,GEORGIA,2020-04-03,33.9931961951707,-83.7127357002228,73340,457.325383991167,38.4,28.8,16.872808094,21.50238,86.288416076,55.612199267,8.6,61413.0,21978.0,1091.0,46.0,100186.0,27029.0,10.0,11.2,27.1
LOWNDES,120,409,529,0.2268431001890359,0.572278799100648,GEORGIA,2020-04-03,30.8338192920466,-83.2677340025915,113898,229.593030731036,38.4,33.5,17.251474305,58.88007,90.33649698,60.27830487,11.0,41820.0,20428.0,1518.0,37.0,89237.0,13719.0,18.8,10.8,23.9
HENRY,371,3120,3491,0.1062732741334861,0.6308802787687713,VIRGINIA,2020-03-30,36.6827769043447,-79.8736744394452,52209,136.548996051441,34.2,33.4,12.838679539,60.51496,87.9,54.758751183,9.4,36471.0,20645.0,929.0,52.0,71739.0,16158.0,13.9,21.7,20.1
WILSON,870,7041,7911,0.1099734546833522,0.4597089288055592,NORTH CAROLINA,2020-03-30,35.7051525270431,-77.9186735147428,81617,222.04276882519,32.3,31.0,13.846153846,45.30372,78.5,54.132597261,8.4,44015.0,22519.0,1361.0,51.0,87270.0,18101.0,19.7,16.4,23.6
CASSIA,106,1799,1905,0.0556430446194225,0.727439471753485,IDAHO,2020-03-25,42.2838385491254,-113.600138086478,23441,9.13662720762884,37.6,24.9,15.547720977,80.29074,85.377358491,51.553346352,4.5,51804.0,18785.0,269.0,42.0,91065.0,23474.0,9.7,13.3,32.6
SANTA ROSA,586,9543,10129,0.0578536874321255,0.7446464185993504,FLORIDA,2020-04-03,30.7004473522769,-87.0219824030187,163903,161.997981455512,30.1,29.7,12.514526796,71.15314,86.543909348,68.211567901,7.1,69541.0,28219.0,2305.0,39.0,116481.0,31825.0,12.6,14.4,22.6
SNYDER,220,963,1183,0.1859678782755705,0.7165556438305934,PENNSYLVANIA,2020-04-01,40.769844736615,-77.0701691639621,40246,122.411638524594,34.0,26.2,8.7149858807,49.01841,89.705882353,48.192905897,4.4,56991.0,24708.0,400.0,58.0,99305.0,25800.0,10.5,16.8,21.7
CHESTERFIELD,307,3109,3416,0.0898711943793911,0.5616066582232676,SOUTH CAROLINA,,34.6398001880653,-80.1587442586684,46083,57.6721259373652,37.7,32.7,14.799785004,30.46923,90.180878553,43.291942862,9.5,39046.0,19088.0,954.0,45.0,76228.0,15641.0,15.7,15.8,23.0
ROWAN,624,7645,8269,0.0754625710484943,0.6650716960027342,NORTH CAROLINA,2020-03-30,35.6394827056701,-80.5247902394888,138694,271.163252932459,37.5,25.6,13.771683492,41.23887,84.5,56.198642372,10.6,46864.0,22463.0,2448.0,49.0,91247.0,20748.0,14.3,16.3,22.7
KNOX,72,135,207,0.3478260869565217,0.7139082237690126,INDIANA,2020-03-24,38.6890379445581,-87.4180543154415,37956,73.5540604114397,34.4,33.7,8.4568439407,82.64903,96.894409938,59.294117647,5.3,48606.0,22976.0,594.0,48.0,88538.0,20510.0,13.8,16.6,21.2
SPOTSYLVANIA,320,4197,4517,0.0708434801859641,0.553419008343723,VIRGINIA,2020-03-30,38.1850418253838,-77.6560085760263,129181,321.75065674747,32.4,25.0,9.5402940304,62.39053,91.2,63.022816538,5.6,86695.0,32367.0,1475.0,43.0,153558.0,42260.0,7.7,12.1,25.8
ISLAND,104,1737,1841,0.0564910374796306,0.4306605093758746,WASHINGTON,2020-03-23,48.1573816490298,-122.566243361136,80113,384.512925498016,29.2,16.4,5.9623940506,37.27799,88.115449915,72.648283039,7.7,65987.0,32503.0,916.0,42.0,117801.0,30499.0,11.7,22.3,19.0
BAXTER,212,1499,1711,0.1239041496201052,0.7427906506121623,ARKANSAS,,36.2872147381421,-92.3369536481037,40992,73.9549470414219,33.7,29.8,8.3837602026,74.96071,85.875706215,61.727600412,6.2,39686.0,23068.0,797.0,47.0,77591.0,20562.0,13.9,30.1,17.7
CHARLESTON,1053,22698,23751,0.0443349753694581,0.4278147948623437,SOUTH CAROLINA,,32.8347549156434,-79.9530537759693,380673,414.925658706798,26.7,20.6,13.538923377,121.56298,84.755332497,73.787699085,6.7,62958.0,33700.0,4835.0,50.0,126756.0,24193.0,13.0,14.5,20.2
KITSAP,384,8465,8849,0.0433947338682337,0.394298446712839,WASHINGTON,2020-03-23,47.6133187783325,-122.672094294883,257488,651.655050237416,30.6,16.2,5.2741864412,64.56117,82.312432041,71.585058277,7.0,76530.0,32801.0,2912.0,48.0,126601.0,31658.0,11.6,15.9,21.1
COLUMBIANA,497,3348,3845,0.12925877763329,0.6856128655223913,OHIO,2020-03-23,40.7684331337215,-80.7771999407792,105230,197.826092798528,36.0,31.3,7.6913366743,42.68654,93.384467881,52.348014501,8.4,44938.0,23785.0,1743.0,50.0,89500.0,21702.0,14.0,18.2,20.9
