state,county,infection_rate,percent_vac,percent_republican,date_stay_at_home_effective,lat,lon,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,primary_care_physicians_rate,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,num_deaths,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty,percent_age_65_and_older,percent_age_17_and_younger
ALABAMA,SUMTER,0.0899653979238754,0.473,0.2466073935423491,2020-04-04,32.5910611286449,-88.1988513022031,13285,14.6976002919179,42.8,37.6,11.362216205,55.17459,76.978417266,56.98017714,15.3,27859.0,13929.0,238.0,63685.0,8423.0,36.7,16.2,19.9
ALABAMA,TALLADEGA,0.1148190752456925,0.33,0.617056305564702,2020-04-04,33.3800873463698,-86.1658909132268,81057,110.015667719794,38.8,34.9,10.302041075,31.22463,92.702394527,52.011855126,12.0,41630.0,20430.0,1705.0,82924.0,16556.0,20.8,16.1,22.2
ALABAMA,TALLAPOOSA,0.1171501473976267,0.347,0.6976290670224776,2020-04-04,32.8623836489401,-85.797502995923,40958,57.1623727030297,36.0,30.0,11.904836931,49.163,89.892473118,49.884151993,9.8,42205.0,21410.0,807.0,87176.0,15691.0,23.4,19.5,21.5
ALABAMA,TUSCALOOSA,0.1327649208282582,0.388,0.577061668681983,2020-04-04,33.2895782353836,-87.5251153607843,202471,153.192540576555,34.6,30.0,9.3086830807,72.18097,88.524590164,64.304939259,7.0,52557.0,23896.0,2750.0,103302.0,20589.0,18.0,11.7,21.0
ALABAMA,WALKER,0.1264306292407235,0.415,0.82335776330076,2020-04-04,33.8033167310492,-87.2973326927355,65593,82.9038880658283,39.6,35.7,11.670766468,40.58822,90.358467244,52.907894737,11.0,45434.0,20410.0,1675.0,85878.0,17005.0,21.9,18.1,22.2
ALABAMA,WASHINGTON,0.1170525542080117,0.381,0.7080745341614907,2020-04-04,31.4076346187676,-88.2078622066998,16909,15.6534933135549,32.9,34.1,13.909465021,18.14772,92.672413793,49.56622325,16.1,44424.0,19598.0,313.0,81850.0,16211.0,21.6,16.7,23.5
ALABAMA,WILCOX,0.1291815289694398,0.493,0.2839163125204315,2020-04-04,31.9893103033129,-87.3081999788081,11119,12.5143795355173,47.7,36.8,10.518884575,37.31691,83.216783217,39.448051948,20.4,25385.0,14800.0,258.0,61357.0,10647.0,34.9,17.8,23.4
ALABAMA,WINSTON,0.13072918870879,0.196,0.8947929797343159,2020-04-04,34.1492042514065,-87.3736692212495,24013,39.1742633653114,37.8,32.2,12.772754345,42.15496,92.857142857,53.070926032,8.7,41156.0,19299.0,515.0,75474.0,17336.0,20.6,20.0,21.0
ARIZONA,APACHE,0.1649811509730549,0.755,0.2978923393948158,2020-03-31,35.3955303898734,-109.488833225248,72346,6.46092981529062,33.5,27.2,19.17271189,32.12021,72.588420108,49.474891357,15.8,33652.0,13428.0,1296.0,73095.0,9578.0,36.2,13.3,29.3
ARIZONA,COCHISE,0.099474277727482,0.558,0.5616714985504349,2020-03-31,31.879613428879,-109.751176250007,128177,20.7925210097417,29.8,24.7,10.456419859,54.5064,87.700408998,65.338994474,8.6,49164.0,23757.0,1785.0,93200.0,19650.0,18.9,19.8,22.3
