,state,county,infection_rate,percent_vac
388,GA,BACON,0.1639197420279469,0.249
389,GA,BAKER,0.0934825543120474,0.384
390,GA,BALDWIN,0.1073735798618846,0.377
391,GA,BANKS,0.1038785484038681,0.251
392,GA,BARROW,0.1313551177318596,0.338
393,GA,BARTOW,0.1476637769403553,0.312
394,GA,BEN HILL,0.1379640718562874,0.323
395,GA,BERRIEN,0.1162550909934525,0.263
396,GA,BIBB,0.1178840290155981,0.388
397,GA,BLECKLEY,0.1352443097956964,0.29
398,GA,BRANTLEY,0.1029881207807839,0.199
399,GA,BROOKS,0.1072006210778288,0.372
400,GA,BRYAN,0.1067454008630479,0.404
401,GA,BULLOCH,0.0964475932067129,0.281
402,GA,BURKE,0.1261671804494482,0.382
403,GA,BUTTS,0.1372313121591273,0.276
404,GA,CALHOUN,0.101308773630635,0.4
405,GA,CAMDEN,0.096860937328504,0.314
406,GA,CANDLER,0.0999722299361288,0.355
407,GA,CARROLL,0.1050653376891792,0.31
408,GA,CATOOSA,0.1053862089375554,0.331
409,GA,CHARLTON,0.1380675029868578,0.173
410,GA,CHATHAM,0.0933731817710672,0.467
411,GA,CHATTAHOOCHEE,0.4516365636747043,0.175
412,GA,CHATTOOGA,0.1237645729960869,0.314
413,GA,CHEROKEE,0.1301835972068183,0.436
414,GA,CLARKE,0.1247399303363957,0.42
415,GA,CLAY,0.0910374029640084,0.562
416,GA,CLAYTON,0.1018661721230701,0.36
417,GA,CLINCH,0.1627379873073436,0.319
418,GA,COBB,0.1130290301404607,0.523
419,GA,COFFEE,0.13916298846856,0.295
420,GA,COLQUITT,0.1199780701754386,0.339
421,GA,COLUMBIA,0.1177559120435953,0.388
422,GA,COOK,0.1313259988419224,0.333
423,GA,COWETA,0.1048959995690496,0.372
424,GA,CRAWFORD,0.0612705578845533,0.32
425,GA,CRISP,0.101019131056678,0.373
426,GA,DADE,0.0973566641846612,0.29
427,GA,DAWSON,0.1255553853225065,0.335
428,GA,DECATUR,0.1253976670201484,0.376
429,GA,DEKALB,0.0955647131491366,0.5
430,GA,DODGE,0.1158942004367871,0.294
431,GA,DOOLY,0.0870799103808812,0.305
432,GA,DOUGHERTY,0.0961730865432716,0.396
433,GA,DOUGLAS,0.1153591220625516,0.392
434,GA,EARLY,0.135819430814524,0.397
435,GA,ECHOLS,0.1432850723914129,0.253
436,GA,EFFINGHAM,0.0840954336195097,0.311
437,GA,ELBERT,0.1245180785662186,0.361
438,GA,EMANUEL,0.1277488298154199,0.308
439,GA,EVANS,0.1127276140416744,0.353
440,GA,FANNIN,0.1016496105086299,0.36
441,GA,FAYETTE,0.0868459461112907,0.561
442,GA,FLOYD,0.1298909622530406,0.357
443,GA,FORSYTH,0.1012233267281332,0.482
444,GA,FRANKLIN,0.1249304038716861,0.309
445,GA,FULTON,0.1006187396434187,0.516
446,GA,GILMER,0.1032229270936274,0.373
447,GA,GLASCOCK,0.0972736452372938,0.274
448,GA,GLYNN,0.1141373165126858,0.432
449,GA,GORDON,0.1506823318323758,0.317
450,GA,GRADY,0.1038038403767304,0.341
451,GA,GREENE,0.1075638506876228,0.482
452,GA,GWINNETT,0.1156785046728972,0.496
453,GA,HABERSHAM,0.1200361807271443,0.347
454,GA,HALL,0.1432931750480578,0.388
455,GA,HANCOCK,0.1136336762445311,0.42
456,GA,HARALSON,0.0966366809881847,0.278
457,GA,HARRIS,0.0817629696900896,0.385
458,GA,HART,0.0986834573554665,0.33
459,GA,HEARD,0.0838715088484441,0.232
460,GA,HENRY,0.1210985628471911,0.379
