,state,county,infection_rate
402,GA,BULLOCH,0.0964475932067129
403,GA,BURKE,0.12616718044944825
404,GA,BUTTS,0.13723131215912737
405,GA,CALHOUN,0.101308773630635
406,GA,CAMDEN,0.09686093732850401
407,GA,CANDLER,0.09997222993612885
408,GA,CARROLL,0.10506533768917928
409,GA,CATOOSA,0.10538620893755549
410,GA,CHARLTON,0.13806750298685783
411,GA,CHATHAM,0.09337318177106727
412,GA,CHATTAHOOCHEE,0.45163656367470434
413,GA,CHATTOOGA,0.12376457299608698
414,GA,CHEROKEE,0.13018359720681832
415,GA,CLARKE,0.12473993033639573
416,GA,CLAY,0.09103740296400847
417,GA,CLAYTON,0.10186617212307018
418,GA,CLINCH,0.1627379873073436
419,GA,COBB,0.11302903014046078
420,GA,COFFEE,0.13916298846856007
421,GA,COLQUITT,0.1199780701754386
422,GA,COLUMBIA,0.11775591204359534
423,GA,COOK,0.13132599884192242
424,GA,COWETA,0.10489599956904969
425,GA,CRAWFORD,0.06127055788455337
426,GA,CRISP,0.101019131056678
427,GA,DADE,0.09735666418466121
428,GA,DAWSON,0.1255553853225065
429,GA,DECATUR,0.12539766702014846
430,GA,DEKALB,0.09556471314913663
431,GA,DODGE,0.11589420043678719
432,GA,DOOLY,0.08707991038088125
433,GA,DOUGHERTY,0.09617308654327164
434,GA,DOUGLAS,0.11535912206255168
435,GA,EARLY,0.13581943081452405
436,GA,ECHOLS,0.1432850723914129
437,GA,EFFINGHAM,0.08409543361950977
438,GA,ELBERT,0.1245180785662186
439,GA,EMANUEL,0.12774882981541993
440,GA,EVANS,0.11272761404167449
441,GA,FANNIN,0.1016496105086299
442,GA,FAYETTE,0.08684594611129076
443,GA,FLOYD,0.12989096225304067
444,GA,FORSYTH,0.10122332672813324
445,GA,FRANKLIN,0.12493040387168615
446,GA,FULTON,0.10061873964341873
447,GA,GILMER,0.10322292709362747
448,GA,GLASCOCK,0.09727364523729384
449,GA,GLYNN,0.11413731651268583
450,GA,GORDON,0.15068233183237584
451,GA,GRADY,0.1038038403767304
452,GA,GREENE,0.1075638506876228
453,GA,GWINNETT,0.1156785046728972
454,GA,HABERSHAM,0.12003618072714436
455,GA,HALL,0.14329317504805789
456,GA,HANCOCK,0.11363367624453116
457,GA,HARALSON,0.09663668098818474
