,state,county,num_hosp,num_not_hosp,num_infected,percent_hosp
210,SC,WILLIAMSBURG,293,2691,2984,0.09819034852546916
211,MD,DORCHESTER,101,2362,2463,0.04100690215184734
212,TN,SHELBY,3502,30498,34000,0.103
213,CA,MONTEREY,1449,17865,19314,0.0750232991612302
214,GA,CHEROKEE,224,149,373,0.6005361930294906
215,NC,SAMPSON,451,6503,6954,0.06485475985044578
216,SC,LAURENS,287,3205,3492,0.08218785796105384
217,AR,WASHINGTON,904,16764,17668,0.051165949739642294
218,VT,WASHINGTON,48,1621,1669,0.028759736369083282
219,FL,CHARLOTTE,550,6452,7002,0.07854898600399886
220,VA,SMYTH,200,1992,2192,0.09124087591240876
221,MN,WINONA,52,164,216,0.24074074074074073
222,OH,HURON,361,4414,4775,0.07560209424083769
223,NY,OSWEGO,14,84,98,0.14285714285714285
224,TN,HAWKINS,143,2075,2218,0.06447249774571687
225,IL,IROQUOIS,133,302,435,0.3057471264367816
226,MI,SHIAWASSEE,189,2903,3092,0.0611254851228978
227,IN,RANDOLPH,29,162,191,0.1518324607329843
228,VA,CAROLINE,69,947,1016,0.06791338582677166
229,NY,ORANGE,1989,23432,25421,0.0782423980173872
230,IA,CARROLL,56,1053,1109,0.05049594229035167
231,IN,MARION,1972,3339,5311,0.37130483901336847
232,NY,ESSEX,8,37,45,0.17777777777777778
233,UT,UINTAH,14,2808,2822,0.004961020552799433
234,IN,ELKHART,226,458,684,0.3304093567251462
235,TN,ROBERTSON,409,3439,3848,0.10628898128898129
236,PA,LEBANON,710,2915,3625,0.19586206896551725
237,OH,TRUMBULL,1216,9611,10827,0.11231181305994274
238,IN,JEFFERSON,4,53,57,0.07017543859649122
239,IA,JASPER,48,1046,1094,0.043875685557586835
240,IA,SIOUX,78,1967,2045,0.038141809290953545
241,WI,BROWN,1439,20985,22424,0.06417231537638245
242,VA,RUSSELL,131,1658,1789,0.07322526551145891
243,NV,ELKO,321,4222,4543,0.07065815540391812
244,TX,BEXAR,0,8,8,0.0
245,DE,NA,2,18,20,0.1
246,IL,MCLEAN,687,6229,6916,0.09933487565066512
247,OH,WOOD,656,7324,7980,0.08220551378446116
248,WI,WOOD,289,3411,3700,0.0781081081081081
249,KY,CALLOWAY,94,2833,2927,0.03211479330372395
250,AZ,NAVAJO,1875,5002,6877,0.27264795695797583
251,NJ,PASSAIC,8387,42123,50510,0.16604632745990894
252,NM,SANTA FE,629,1054,1683,0.37373737373737376
253,NY,ONEIDA,121,669,790,0.15316455696202533
254,RI,NEWPORT,7,52,59,0.11864406779661017
255,GA,BULLOCH,48,31,79,0.6075949367088608
256,CT,NA,133,697,830,0.1602409638554217
257,NJ,NA,322,2157,2479,0.12989108511496572
258,AR,MISSISSIPPI,444,3392,3836,0.11574556830031282
259,NY,ERIE,1124,2493,3617,0.3107547691457009
260,NH,STRAFFORD,94,5285,5379,0.0174753671686187
261,OH,FRANKLIN,3957,65068,69025,0.057327055414704814
262,WI,ONEIDA,184,1378,1562,0.117797695262484
263,ME,YORK,386,9835,10221,0.03776538499168379
264,MN,ST. LOUIS,1100,448,1548,0.710594315245478
265,NY,HERKIMER,19,94,113,0.168141592920354
266,GA,ROCKDALE,17,12,29,0.5862068965517241
267,WV,NA,33,72,105,0.3142857142857143
268,WI,DOUGLAS,167,3284,3451,0.04839177050130397
269,AL,MARION,82,867,949,0.08640674394099052
270,FL,SUWANNEE,234,3584,3818,0.061288632792037716
271,CA,GLENN,146,1518,1664,0.08774038461538461
272,WA,CLARK,1431,24650,26081,0.05486752808557954
273,KS,LYON,254,3568,3822,0.06645735217163788
274,CO,ROUTT,38,1651,1689,0.022498519834221433
275,VA,PORTSMOUTH CITY,684,4484,5168,0.1323529411764706
276,RI,WASHINGTON,13,67,80,0.1625
277,UT,CACHE,32,16590,16622,0.0019251594272650704
278,CO,MORGAN,263,847,1110,0.23693693693693693
279,IL,CHRISTIAN,89,340,429,0.20745920745920746
280,VA,ORANGE,77,1373,1450,0.05310344827586207
281,IL,MARION,137,354,491,0.2790224032586558
282,NY,FRANKLIN,1,14,15,0.06666666666666667
283,NY,QUEENS,35217,4863,40080,0.8786676646706587
284,ND,NA,451,6195,6646,0.0678603671381282
285,IL,FAYETTE,142,2621,2763,0.051393412956930874
286,MS,FORREST,122,754,876,0.13926940639269406
287,NC,MARTIN,222,1148,1370,0.16204379562043797
288,NC,ROCKINGHAM,468,5440,5908,0.07921462423832092
289,IL,COLES,304,839,1143,0.2659667541557305
290,WI,LA CROSSE,422,2829,3251,0.1298062134727776
291,OH,ASHLAND,297,3052,3349,0.08868318901164526
292,MN,SHERBURNE,504,387,891,0.5656565656565656
293,IN,NOBLE,13,97,110,0.11818181818181818
294,FL,DUVAL,1772,22739,24511,0.072294072049284
295,FL,HENDRY,266,2820,3086,0.08619572261827609
296,WI,VILAS,117,1403,1520,0.07697368421052632
297,WI,CLARK,242,2823,3065,0.07895595432300163
298,NC,BURKE,196,4238,4434,0.04420387911592242
299,OH,MEDINA,747,7113,7860,0.0950381679389313
300,WI,TREMPEALEAU,116,1362,1478,0.07848443843031123
301,VA,SALEM CITY,74,949,1023,0.07233626588465299
302,VA,RICHMOND CITY,827,8607,9434,0.0876616493534026
303,OR,COOS,154,1852,2006,0.07676969092721835
304,WI,WALWORTH,420,3773,4193,0.1001669449081803
305,AL,LAUDERDALE,151,2674,2825,0.05345132743362832
306,IN,RIPLEY,12,42,54,0.2222222222222222
307,RI,PROVIDENCE,93,494,587,0.15843270868824533
308,NY,NEW YORK,16669,3540,20209,0.8248305210549755
309,MA,MIDDLESEX,4904,38121,43025,0.11398024404416038
310,SD,MINNEHAHA,1,5,6,0.16666666666666666
311,WA,SKAGIT,352,5673,6025,0.058423236514522824
312,WA,OKANOGAN,184,2603,2787,0.06602081090778615
313,OK,SEQUOYAH,223,2467,2690,0.0828996282527881
314,ME,KENNEBEC,171,4610,4781,0.03576657603011922
315,TN,LINCOLN,62,1211,1273,0.04870384917517675
316,TN,FAYETTE,130,1961,2091,0.06217120994739359
317,FL,HIGHLANDS,455,4561,5016,0.0907097288676236
318,OH,WARREN,744,8322,9066,0.08206485771012574
319,NJ,MONMOUTH,8242,44487,52729,0.15630867264693052
320,AL,TUSCALOOSA,480,6358,6838,0.0701959637320854
321,OH,MERCER,398,3744,4142,0.09608884596813133
322,OH,DEFIANCE,290,3810,4100,0.07073170731707316
323,ND,CASS,139,4794,4933,0.028177579566186904
324,OH,HIGHLAND,195,835,1030,0.18932038834951456
325,GA,WALTON,50,50,100,0.5
326,TN,OBION,91,1875,1966,0.04628687690742624
327,AZ,NA,375,1471,1846,0.20314192849404117
328,GA,PEACH,21,34,55,0.38181818181818183
329,GA,TROUP,64,141,205,0.3121951219512195
330,IA,JOHNSON,145,4138,4283,0.033854774690637406
331,WA,PIERCE,3634,53508,57142,0.06359595393930909
332,TN,MADISON,316,3203,3519,0.08979823813583404
333,NM,MCKINLEY,1800,2968,4768,0.3775167785234899
334,NY,SCHENECTADY,183,635,818,0.2237163814180929
335,IL,CHAMPAIGN,174,2177,2351,0.07401105912377712
336,PA,BERKS,978,10297,11275,0.08674057649667406
337,NC,CABARRUS,731,10243,10974,0.06661199198104611
338,VA,WISE,170,2191,2361,0.07200338839474799
339,NC,EDGECOMBE,391,2982,3373,0.11592054550844945
340,AR,NA,3700,32320,36020,0.10272071071626875
341,NY,RENSSELAER,345,2840,3185,0.10832025117739404
342,VA,KING GEORGE,63,613,676,0.09319526627218935
343,GA,CLARKE,80,261,341,0.23460410557184752
344,MI,KENT,1664,33965,35629,0.046703528024923516
345,GA,DECATUR,19,73,92,0.20652173913043478
346,NE,MADISON,1,0,1,1.0
347,NC,TRANSYLVANIA,90,1599,1689,0.05328596802841918
348,SC,GREENVILLE,2234,33036,35270,0.06333994896512617
349,AZ,YUMA,2301,16796,19097,0.12049012933968686
350,TN,WARREN,77,2008,2085,0.036930455635491605
351,AL,LIMESTONE,172,2973,3145,0.05468998410174881
352,VI,NA,127,2302,2429,0.052284890901605596
353,IL,HENRY,110,897,1007,0.10923535253227408
354,ID,MADISON,95,5175,5270,0.018026565464895637
355,AL,RANDOLPH,54,531,585,0.09230769230769231
356,TN,HAMBLEN,218,2738,2956,0.07374830852503383
357,GA,CARROLL,18,22,40,0.45
358,MA,NA,72,657,729,0.09876543209876543
359,OK,STEPHENS,389,3566,3955,0.09835651074589127
360,VA,YORK,86,1763,1849,0.046511627906976744
361,WA,YAKIMA,1615,29177,30792,0.052448687970901534
362,OR,WASCO,58,1116,1174,0.049403747870528106
363,FL,LEON,482,12124,12606,0.038235760748849754
364,OK,LOGAN,220,2262,2482,0.088638195004029
365,VT,WINDHAM,42,1062,1104,0.03804347826086957
366,NY,SUFFOLK,1183,775,1958,0.6041879468845761
367,IL,WILLIAMSON,318,371,689,0.46153846153846156
368,NC,PITT,465,8106,8571,0.054252712635631785
369,WI,WAUKESHA,2184,19826,22010,0.09922762380736029
370,NC,PENDER,163,1700,1863,0.08749329039184112
371,CO,DOUGLAS,1160,8535,9695,0.11964930376482723
372,WI,TAYLOR,68,1073,1141,0.05959684487291849
373,ID,PAYETTE,126,1928,2054,0.06134371957156767
374,VA,NORFOLK CITY,1048,10048,11096,0.09444844989185291
375,OH,RICHLAND,646,5771,6417,0.10067009505999688
376,CA,CONTRA COSTA,6879,36441,43320,0.1587950138504155
377,IN,SCOTT,19,128,147,0.1292517006802721
378,MI,EMMET,74,1513,1587,0.04662885948330183
379,MA,HAMPDEN,1802,8166,9968,0.1807784911717496
380,IN,CARROLL,23,153,176,0.13068181818181818
381,MN,OLMSTED,624,748,1372,0.45481049562682213
382,AL,CULLMAN,136,2372,2508,0.05422647527910686
383,MN,BROWN,145,106,251,0.5776892430278885
384,WA,GRANT,466,9396,9862,0.04725207868586494
385,OH,MAHONING,1071,7571,8642,0.12392964591529738
386,NC,POLK,67,1065,1132,0.05918727915194346
387,NM,LUNA,177,262,439,0.4031890660592255
388,NY,STEUBEN,38,186,224,0.16964285714285715
389,IN,WHITLEY,17,52,69,0.2463768115942029
390,OH,LICKING,358,4585,4943,0.07242565243779081
391,TN,DEKALB,51,985,1036,0.04922779922779923
392,MA,BERKSHIRE,249,1474,1723,0.1445153801508996
393,IL,MACON,539,4040,4579,0.11771129067481984
394,AL,CHEROKEE,33,451,484,0.06818181818181818
395,GA,NA,1075,2227,3302,0.3255602665051484
396,WA,COWLITZ,344,6319,6663,0.051628395617589674
397,NC,RUTHERFORD,295,3297,3592,0.08212694877505568
398,PA,LAWRENCE,203,2173,2376,0.08543771043771044
399,AR,YELL,172,2057,2229,0.07716464782413639
400,GA,FANNIN,14,12,26,0.5384615384615384
401,MO,ST. LOUIS CITY,4,1,5,0.8
402,MI,TUSCOLA,278,2724,3002,0.09260493004663557
403,IL,KENDALL,690,3601,4291,0.1608016779305523
404,MI,OSCEOLA,83,939,1022,0.0812133072407045
405,CA,SAN BENITO,269,3568,3837,0.07010685431326558
406,IL,STEPHENSON,148,1274,1422,0.10407876230661041
407,TN,FRANKLIN,98,1742,1840,0.05326086956521739
408,KY,PIKE,95,2161,2256,0.04210992907801418
409,OK,CARTER,272,3878,4150,0.0655421686746988
410,OH,CLARK,515,7913,8428,0.06110583768391077
411,VA,ALBEMARLE,252,4218,4470,0.056375838926174496
412,UT,TOOELE,25,6992,7017,0.003562776115148924
413,WI,ST. CROIX,316,5488,5804,0.05444521019986216
414,VA,HENRICO,1113,13306,14419,0.07718981898883417
415,SC,YORK,954,16307,17261,0.05526910375992121
416,MD,QUEEN ANNE'S,134,2168,2302,0.05821025195482189
417,FL,HARDEE,167,2348,2515,0.06640159045725647
418,NH,COOS,13,855,868,0.014976958525345621
419,NC,ASHE,40,1476,1516,0.026385224274406333
420,OH,ADAMS,149,1448,1597,0.09329993738259236
421,GA,HENRY,35,57,92,0.3804347826086957
422,AZ,PIMA,8701,50849,59550,0.14611251049538204
423,TN,WASHINGTON,352,5814,6166,0.05708725267596497
424,TN,MCMINN,146,2441,2587,0.056436026285272514
425,OH,MONTGOMERY,4784,27634,32418,0.14757233635634523
426,MS,LAUDERDALE,188,798,986,0.19066937119675456
427,NY,YATES,4,29,33,0.12121212121212122
428,OR,NA,399,5148,5547,0.07193077339102218
429,NJ,ATLANTIC,3922,19856,23778,0.16494238371604003
430,AR,CLEBURNE,132,872,1004,0.13147410358565736
431,OR,LANE,804,9573,10377,0.07747904018502458
432,CA,SANTA CLARA,5950,85492,91442,0.06506856805406706
433,CT,TOLLAND,158,1554,1712,0.09228971962616822
434,AR,SALINE,580,6340,6920,0.0838150289017341
435,IA,BENTON,34,599,633,0.053712480252764615
436,GA,PAULDING,17,17,34,0.5
437,GU,NA,311,2103,2414,0.12883181441590721
438,OH,NA,1081,7557,8638,0.12514470942347766
439,WA,SNOHOMISH,2533,37979,40512,0.06252468404423381
440,NH,BELKNAP,52,1789,1841,0.028245518739815317
441,OK,WAGONER,626,4871,5497,0.11388029834455157
442,KY,FLOYD,176,2496,2672,0.0658682634730539
443,NC,BLADEN,224,2520,2744,0.08163265306122448
444,OH,LOGAN,190,2220,2410,0.07883817427385892
445,IL,JERSEY,30,134,164,0.18292682926829268
446,MD,HARFORD,124,1312,1436,0.08635097493036212
447,GA,SPALDING,119,73,192,0.6197916666666666
448,VA,PAGE,114,1072,1186,0.09612141652613827
449,MT,SILVER BOW,115,3643,3758,0.030601383714741883
450,CA,SOLANO,1274,17286,18560,0.06864224137931034
451,VA,ACCOMACK,212,2435,2647,0.08009066868152626
452,WI,WAUPACA,248,2576,2824,0.08781869688385269
453,GA,LEE,44,64,108,0.4074074074074074
454,OH,LAKE,831,9264,10095,0.08231797919762258
455,TN,ROANE,132,1926,2058,0.0641399416909621
456,NY,TOMPKINS,12,135,147,0.08163265306122448
457,NM,CHAVES,457,909,1366,0.33455344070278187
458,GA,LAURENS,11,6,17,0.6470588235294118
459,MN,MORRISON,260,128,388,0.6701030927835051
460,GA,GORDON,28,87,115,0.24347826086956523
461,KY,WHITLEY,181,3014,3195,0.0566510172143975
462,UT,WASATCH,55,4602,4657,0.01181017822632596
