state,county,num_infected,num_hosp,num_not_hosp,percent_hosp,percent_republican,date_stay_at_home_effective,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,percent_vaccinated,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty,percent_age_65_and_older,percent_age_17_and_younger,total_percent_infected,total_percent_hosp
NEW YORK,ERIE,3617,1124,2493,0.3107547691457009,0.4445039834759516,0.8333333333333334,922129,884.36892668266,0.301,0.256,0.044900963057,0.84037273372,0.72850309131,0.061,56375.0,29940.0,0.46,111538.0,21944.0,0.147,0.165,0.207,0.003922444690493412,0.0012189183942810605
NEW YORK,ESSEX,45,8,37,0.1777777777777777,0.4621907306307353,0.8333333333333334,38598,21.5136914414874,0.28800000000000003,0.215,0.052979892954999996,0.91095890411,0.58356039964,0.075,54376.0,28155.0,0.52,102778.0,25291.0,0.10099999999999999,0.21100000000000002,0.172,0.001165863516244365,0.00020726462511010932
NEW YORK,FRANKLIN,15,1,14,0.0666666666666666,0.4849575271354412,0.8333333333333334,51007,31.3078398068709,0.33899999999999997,0.292,0.07382385120400001,0.8606271777000001,0.50275313552,0.085,48722.0,23660.0,0.46,97105.0,19249.0,0.192,0.149,0.198,0.00029407728351010646,1.9605152234007097e-05
NEW YORK,FULTON,192,51,141,0.265625,0.6345809371169983,0.8333333333333334,54297,109.589184639138,0.34,0.28,0.056794611853,0.7806041335499999,0.55093143084,0.08,51388.0,25092.0,0.5,94057.0,22487.0,0.16699999999999998,0.179,0.207,0.0035361069672357587,0.0009392784131719984
NEW YORK,GENESEE,197,19,178,0.0964467005076142,0.6399440072639225,0.8333333333333334,59053,119.798598730377,0.366,0.299,0.048253885673,0.9135618479900001,0.64712874229,0.054000000000000006,58925.0,26381.0,0.47,105865.0,25588.0,0.125,0.174,0.209,0.0033359863173759168,0.00032174487324945387
NEW YORK,GREENE,254,71,183,0.2795275590551181,0.5928798185941043,0.8333333333333334,48069,74.2767026973977,0.27899999999999997,0.251,0.05645137944,0.8703296703300001,0.50311184331,0.078,54514.0,26307.0,0.45,101703.0,22207.0,0.13,0.19699999999999998,0.174,0.00528407081487029,0.0014770434167550813
NEW YORK,HERKIMER,113,19,94,0.168141592920354,0.6360312321462579,0.8333333333333334,63558,45.0282515713432,0.32,0.28800000000000003,0.049290591651,0.85034013605,0.59976317348,0.08800000000000001,53168.0,24678.0,0.49,94307.0,22719.0,0.14,0.188,0.212,0.0017779036470625255,0.00029893955127599986
NEW YORK,JEFFERSON,47,6,41,0.1276595744680851,0.569175645988074,0.8333333333333334,117966,92.9819740775293,0.34299999999999997,0.27,0.046722394266,0.85748987854,0.6482442562699999,0.094,52798.0,24172.0,0.51,94337.0,24134.0,0.146,0.122,0.248,0.00039841988369530206,5.086211281216622e-05
NEW YORK,LEWIS,22,3,19,0.1363636363636363,0.6534216335540839,0.8333333333333334,27107,21.266375293764,0.385,0.29100000000000004,0.058170983268,0.91666666667,0.54964362672,0.079,52660.0,25230.0,0.54,97375.0,25847.0,0.14,0.166,0.23399999999999999,0.0008115984800973918,0.0001106725200132807
NEW YORK,LIVINGSTON,204,12,192,0.0588235294117647,0.5757384036495621,0.8333333333333334,64622,102.288527385981,0.355,0.228,0.044152669182000004,0.89280245023,0.60010278247,0.051,61027.0,24596.0,0.49,103791.0,23606.0,0.149,0.158,0.187,0.00315681965893968,0.0001856952740552753
NEW YORK,MADISON,278,33,245,0.118705035971223,0.5300691857370942,0.8333333333333334,72089,110.082341111003,0.303,0.237,0.049842631279,0.85696202532,0.64835164835,0.049,59114.0,26824.0,0.48,110738.0,26844.0,0.11900000000000001,0.159,0.203,0.003856344241146361,0.0004577674818626975
NEW YORK,MONROE,219,131,88,0.5981735159817352,0.3927139940768854,0.8333333333333334,749236,1140.02557906062,0.294,0.23199999999999998,0.046771624043,0.82992070067,0.72601600444,0.073,60240.0,30194.0,0.51,114658.0,23180.0,0.149,0.155,0.215,0.00029229775397871964,0.00017484477521101496
NEW YORK,MONTGOMERY,265,37,228,0.1396226415094339,0.5931038102235751,0.8333333333333334,49667,123.207516480714,0.35100000000000003,0.308,0.061933990743,0.7602627257800001,0.59393990547,0.084,43799.0,23885.0,0.47,93171.0,19771.0,0.20600000000000002,0.177,0.228,0.005335534660841202,0.0007449614432117905
NEW YORK,NASSAU,7561,2417,5144,0.3196667107525459,0.4526341239028081,0.8333333333333334,1356801,4763.91833537582,0.23600000000000002,0.228,0.053276810163999995,0.9076960251299999,0.75579882735,0.057999999999999996,115301.0,44548.0,0.52,205994.0,45637.0,0.06,0.16399999999999998,0.221,0.005572666883352828,0.0017813960927210402
NEW YORK,NIAGARA,607,174,433,0.28665568369028,0.5623363130668168,0.8333333333333334,213374,408.486667841145,0.335,0.292,0.050918177317999996,0.84821061292,0.66898743144,0.071,55013.0,27487.0,0.47,105400.0,22160.0,0.136,0.17300000000000001,0.205,0.0028447702156776363,0.0008154695511168184
NEW YORK,ONEIDA,790,121,669,0.1531645569620253,0.5651858607390478,0.8333333333333334,232858,192.074740049077,0.331,0.257,0.056695554934,0.83724394786,0.60892446816,0.069,54096.0,26577.0,0.5,102471.0,21892.0,0.16699999999999998,0.174,0.213,0.0033926255486176125,0.0005196299890920647
NEW YORK,ONONDAGA,1512,240,1272,0.1587301587301587,0.4013097294185377,0.8333333333333334,468050,601.290537873982,0.295,0.218,0.050338119697,0.8408403062099999,0.71928058697,0.068,59786.0,30225.0,0.54,117284.0,23893.0,0.152,0.153,0.21899999999999997,0.0032304240999893176,0.0005127657301570345
NEW YORK,ONTARIO,205,39,166,0.1902439024390244,0.4980864173906387,0.8333333333333334,109450,169.936969083786,0.33,0.233,0.044178980325,0.89873417722,0.7358307698800001,0.055,62930.0,31524.0,0.53,117884.0,28118.0,0.10300000000000001,0.17800000000000002,0.21,0.0018730013704888076,0.0003563270899954317
