state,county,total_percent_infected,percent_vaccinated,percent_republican,date_stay_at_home_effective,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty,percent_age_65_and_older,percent_age_17_and_younger
MICHIGAN,DELTA,0.1163089649005141,0.54,0.6013951979234263,0.7222222222222222,36570,31.2272292341874,0.358,0.22699999999999998,0.06454699344999999,0.7370030581,0.7063236870299999,0.075,49292.0,24182.0,89990.0,19947.0,0.166,0.212,0.204
MICHIGAN,DICKINSON,0.1108997979317722,0.585,0.6517280668439043,0.7222222222222222,25889,34.0018204236425,0.244,0.21,0.059984813971,0.89138576779,0.70641691395,0.069,52348.0,25136.0,95745.0,20732.0,0.146,0.207,0.201
MICHIGAN,EATON,0.0940798781151376,0.475,0.4910798456092919,0.7222222222222222,108544,188.713909124218,0.37,0.22899999999999998,0.055236411842999995,0.8718487395,0.7226247075700001,0.067,66716.0,28624.0,109162.0,30011.0,0.111,0.163,0.21899999999999997
MICHIGAN,EMMET,0.0732006583869519,0.631,0.5646207850228699,0.7222222222222222,33091,70.7789826316674,0.273,0.19399999999999998,0.077009708738,0.93820224719,0.73185816383,0.075,58891.0,30250.0,100995.0,25183.0,0.105,0.19699999999999998,0.20600000000000002
MICHIGAN,GENESEE,0.104599901925271,0.423,0.428816685006317,0.7222222222222222,413090,648.529730373213,0.349,0.262,0.067293853231,0.8314249363899999,0.6606818931399999,0.12,48370.0,23755.0,94031.0,19669.0,0.209,0.156,0.235
MICHIGAN,GLADWIN,0.0918700145388816,0.406,0.6513790891597178,0.7222222222222222,25367,50.5536094813947,0.425,0.261,0.080198451641,0.89230769231,0.51123475284,0.09300000000000001,44635.0,22255.0,79824.0,18947.0,0.203,0.248,0.196
MICHIGAN,GOGEBIC,0.1055456171735241,0.548,0.5482330468003821,0.7222222222222222,15650,14.2032172883348,0.312,0.243,0.077622445987,0.88495575221,0.54582964928,0.085,39934.0,21464.0,76475.0,15825.0,0.20600000000000002,0.233,0.156
MICHIGAN,GRAND TRAVERSE,0.0717170849089034,0.595,0.5313729671053907,0.7222222222222222,90715,195.362060050608,0.309,0.182,0.063453738996,0.86166471278,0.73371255888,0.057999999999999996,64591.0,30024.0,112133.0,28198.0,0.098,0.17,0.209
MICHIGAN,GRATIOT,0.1724104050502321,0.368,0.6000607348921956,0.7222222222222222,41676,73.3136335739645,0.37799999999999995,0.203,0.056728050210000006,0.8779956427000001,0.56200249353,0.08,48988.0,20358.0,85992.0,18560.0,0.19,0.163,0.204
MICHIGAN,HILLSDALE,0.098804955596974,0.319,0.7068706118355065,0.7222222222222222,46024,76.9440320908931,0.386,0.23600000000000002,0.070918410218,0.8536082474200001,0.56427840328,0.076,50388.0,22435.0,90590.0,21394.0,0.18600000000000003,0.17600000000000002,0.22399999999999998
MICHIGAN,HOUGHTON,0.0891435937675148,0.45,0.5424347158218126,0.7222222222222222,36565,36.2358702690553,0.313,0.21,0.066703096539,0.76941747573,0.68993754337,0.07400000000000001,42282.0,20248.0,86979.0,16846.0,0.228,0.161,0.203
MICHIGAN,HURON,0.1342435686388431,0.472,0.6717346233586731,0.7222222222222222,32021,38.2989991044345,0.342,0.23800000000000002,0.068661821291,0.91647331787,0.59287148594,0.066,45817.0,24455.0,86165.0,21251.0,0.139,0.23399999999999999,0.196
MICHIGAN,INGHAM,0.0873682482575596,0.486,0.3345178361725816,0.7222222222222222,284559,511.685765520952,0.315,0.20199999999999999,0.061948219845,0.88020626735,0.7756371275399999,0.08900000000000001,52837.0,26083.0,104187.0,20936.0,0.222,0.11900000000000001,0.203
MICHIGAN,IONIA,0.146699228712305,0.388,0.6194607879645491,0.7222222222222222,64126,112.244911749307,0.348,0.258,0.058430751338,0.84144144144,0.56710296158,0.08199999999999999,61667.0,21526.0,96328.0,25070.0,0.14300000000000002,0.132,0.233
MICHIGAN,IOSCO,0.0820233215266446,0.491,0.6245789985779507,0.7222222222222222,25373,46.2069769764074,0.305,0.27899999999999997,0.076253343197,0.90579710145,0.54230512991,0.115,41256.0,23723.0,76632.0,20579.0,0.16899999999999998,0.28,0.168
MICHIGAN,IRON,0.0977769745165371,0.494,0.6218274111675127,0.7222222222222222,11393,9.76987623694728,0.275,0.23199999999999998,0.071093138534,0.95698924731,0.54385964912,0.077,40959.0,22454.0,77805.0,17078.0,0.172,0.284,0.163
MICHIGAN,ISABELLA,0.092011106022441,0.375,0.4859010712035286,0.7222222222222222,70574,123.235326245708,0.33399999999999996,0.179,0.077452000212,0.82692307692,0.6682679652500001,0.099,47056.0,21387.0,91877.0,17240.0,0.28800000000000003,0.11,0.174
MICHIGAN,JACKSON,0.1357075263390322,0.431,0.5711066779568581,0.7222222222222222,159483,227.291779552636,0.36200000000000004,0.24600000000000002,0.057216457147,0.80607627666,0.61591559277,0.08900000000000001,52047.0,24444.0,97913.0,22171.0,0.16699999999999998,0.159,0.222
MICHIGAN,KALAMAZOO,0.0898757290637048,0.508,0.4040728746862604,0.7222222222222222,258605,459.990769764099,0.314,0.193,0.055614101001999997,0.84612068966,0.7813031249,0.073,55881.0,27370.0,110191.0,24173.0,0.175,0.135,0.221
MICHIGAN,KALKASKA,0.0659718372325091,0.408,0.6924034869240349,0.7222222222222222,17259,30.8267342121307,0.344,0.284,0.082229262673,0.7816091954,0.528686462,0.08900000000000001,46068.0,22508.0,82763.0,20625.0,0.168,0.18899999999999997,0.21600000000000003
MICHIGAN,KENT,0.1141585040071237,0.539,0.4808166549853334,0.7222222222222222,629352,742.450270061959,0.29600000000000004,0.198,0.063522487743,0.88549132027,0.70737271787,0.063,61675.0,28070.0,112824.0,26926.0,0.149,0.122,0.252
