state,county,total_percent_infected,percent_vaccinated,total_population,population_density_per_sqmi,percent_republican,date_stay_at_home_effective,percent_adults_with_obesity,percent_physically_inactive,percent_age_65_and_older,percent_age_17_and_younger
KANSAS,WOODSON,0.0806246016571064,0.373,3186,6.3999085707013,0.7498267498267498,0.3888888888888889,0.382,0.262,0.22399999999999998,0.213
KANSAS,WYANDOTTE,0.1396732132818308,0.461,161777,1067.1160470399,0.3240195977942232,0.3888888888888889,0.395,0.32899999999999996,0.11199999999999999,0.282
KENTUCKY,ADAIR,0.1111342568482449,0.325,19156,47.2657597579432,0.8061459978136767,0.6111111111111112,0.409,0.331,0.16699999999999998,0.204
KENTUCKY,ALLEN,0.107342247243725,0.352,20421,59.3051845817112,0.7986660079051383,0.6111111111111112,0.375,0.39399999999999996,0.159,0.24
KENTUCKY,ANDERSON,0.086692750692399,0.548,21867,108.341958714898,0.7215899142006654,0.6111111111111112,0.369,0.345,0.142,0.242
KENTUCKY,BALLARD,0.0570486815415821,0.287,8216,33.3091536967452,0.7707876127773714,0.6111111111111112,0.364,0.386,0.193,0.222
KENTUCKY,BARREN,0.1132906958349341,0.393,43287,88.7858671004504,0.729283859800952,0.6111111111111112,0.337,0.377,0.16699999999999998,0.237
KENTUCKY,BATH,0.08816,0.452,12113,43.4473613040526,0.671898844560715,0.6111111111111112,0.419,0.37,0.159,0.25
KENTUCKY,BELL,0.1306853103872157,0.389,27676,77.0918669032774,0.7989298209508129,0.6111111111111112,0.374,0.375,0.17300000000000001,0.21600000000000003
KENTUCKY,BOONE,0.1161317852089743,0.615,125656,510.348870998945,0.6782949772640494,0.6111111111111112,0.358,0.247,0.111,0.272
KENTUCKY,BOURBON,0.0972306448352536,0.509,20004,69.0460365641083,0.632625241394979,0.6111111111111112,0.303,0.311,0.174,0.23
KENTUCKY,BOYD,0.1179630977353482,0.43,48716,304.728204028755,0.6644666079984355,0.6111111111111112,0.405,0.315,0.17800000000000002,0.212
KENTUCKY,BOYLE,0.124750499001996,0.54,29650,164.343974731615,0.6210412482620115,0.6111111111111112,0.285,0.209,0.17600000000000002,0.203
KENTUCKY,BRACKEN,0.087076960134891,0.394,8404,40.8730396212943,0.7686419053019563,0.6111111111111112,0.317,0.312,0.154,0.244
KENTUCKY,BREATHITT,0.0890736342042755,0.402,13476,27.3672323667935,0.6955385151620774,0.6111111111111112,0.381,0.34,0.153,0.215
KENTUCKY,BRECKINRIDGE,0.0731552473506861,0.367,20000,35.260750423125,0.7390015956234328,0.6111111111111112,0.24600000000000002,0.254,0.17800000000000002,0.23199999999999998
KENTUCKY,BULLITT,0.0983152945785787,0.423,77727,261.685611884203,0.7266627852172225,0.6111111111111112,0.345,0.282,0.136,0.23199999999999998
KENTUCKY,BUTLER,0.1212050625048528,0.384,12828,30.1064775095716,0.7941176470588235,0.6111111111111112,0.313,0.314,0.172,0.22699999999999998
KENTUCKY,CALDWELL,0.124499882325253,0.432,12758,37.0020508544631,0.7543096234309623,0.6111111111111112,0.336,0.28,0.18600000000000003,0.228
KENTUCKY,CALLOWAY,0.1014589369503346,0.425,38302,99.4797170379296,0.6459592497974952,0.6111111111111112,0.33,0.27,0.159,0.184
KENTUCKY,CAMPBELL,0.1001025816378868,0.601,91456,604.39243271029,0.589273112208892,0.6111111111111112,0.316,0.239,0.139,0.218
KENTUCKY,CARLISLE,0.1088235294117647,0.336,4954,26.1515503136912,0.8050749711649365,0.6111111111111112,0.27,0.332,0.19899999999999998,0.22
KENTUCKY,CARROLL,0.1037531746778289,0.44,10776,83.8145195945903,0.6713359273670557,0.6111111111111112,0.293,0.3,0.151,0.252
KENTUCKY,CARTER,0.1031458745381945,0.395,27292,66.6477829033361,0.7381786339754816,0.6111111111111112,0.396,0.39799999999999996,0.162,0.226
KENTUCKY,CASEY,0.1019246240485178,0.298,15928,35.8550787881033,0.8513744370243826,0.6111111111111112,0.348,0.313,0.19,0.226
KENTUCKY,CHRISTIAN,0.1062147854841685,0.278,73936,103.045861079836,0.6388624733958248,0.6111111111111112,0.341,0.314,0.11,0.27899999999999997
